Row,Column  TimeOfArrival        OpenRow  CloseRow
49,6           90                119          119
49,56          100                137          162
42,65          120                180          205
40,65          150                223          248
40,34          200                241          291
50,40          390                433          419
50,22          450                468          479
41,65          470                513          522
42,98          500                556          565
44,98          520                599          608
49,6          550                642          651
40,6          600                685          694
50,23          610                728          737
50,22          620                746          780
40,22          650                789          823
50,32          750                832          866
41,65          770                875          909
42,98          800                918          952
44,98          810                961          995
49,6          820               1004         1038
50,23         1010               1053         1081
50,22         1120               1138         1149
40,22         1190               1233         1219
50,32         1270               1313         1299
41,65         1310               1356         1342
42,98         1400               1443         1429
44,98         1490               1533         1519
49,6         1530               1576         1562
